zpid,address,zipcode,city,state,latitude,longitude
5914870,3 Paige Ave # 9,#02127,South Boston,MA,42.330844,-71.037967
5914870,2 Paige Ave # 8,#02127,South Boston,MA,42.330844,-71.037967
12384733,20 Patterson Way,#02127,South Boston,MA,42.331292,-71.051636
12384961,35 Patterson Way,#02127,South Boston,MA,42.330898,-71.051609
5915059,9 Peters St,#02127,South Boston,MA,42.332727,-71.032112
5915059,5 Peters St,#02127,South Boston,MA,42.332864,-71.03212
5915059,7 Peters St,#02127,South Boston,MA,42.332795,-71.032116
5915059,11 Peters St,#02127,South Boston,MA,42.332658,-71.032108
5915061,10 Peters St,#02127,South Boston,MA,42.332735,-71.031715
9013699,10 Peters St # 3,#02127,South Boston,MA,42.332735,-71.031715
6709567,9 Peters St # C,#02127,South Boston,MA,42.332729,-71.032059
6709595,9 Peters St # A,#02127,South Boston,MA,42.332729,-71.032059
6709620,9 Peters St # B,#02127,South Boston,MA,42.332727,-71.032112
10298785,7 Peters St # 3,#02127,South Boston,MA,42.332795,-71.032116
10298827,7 Peters St # 1,#02127,South Boston,MA,42.332795,-71.032116
10298800,7 Peters St # 2,#02127,South Boston,MA,42.332795,-71.032116
9013802,10 Peters St # 1,#02127,South Boston,MA,42.332735,-71.031715
9013826,10 Peters St # 2,#02127,South Boston,MA,42.332735,-71.031715
5921137,6 Peters St # 2,#02127,South Boston,MA,42.332872,-71.031723
5921137,6 Peters St # 3,#02127,South Boston,MA,42.332872,-71.031723
5921137,6 Peters St # 1,#02127,South Boston,MA,42.332872,-71.031723
6304168,12 Peters St # 2,#02127,South Boston,MA,42.332666,-71.031711
6304157,12 Peters St # 1,#02127,South Boston,MA,42.332666,-71.031711
6304158,12 Peters St # 3,#02127,South Boston,MA,42.332666,-71.031711
5915123,1 Pulaski Ave,#02127,South Boston,MA,42.336826,-71.046432
29496860,7 Pulaski Ave,#02127,South Boston,MA,42.336944,-71.046295
5915123,3 Pulaski Ave,#02127,South Boston,MA,42.336865,-71.046386
5914852,9 Rogers St,#02127,South Boston,MA,42.329738,-71.05573
5914852,7 Rogers St,#02127,South Boston,MA,42.329711,-71.055924
5914852,5 Rogers St,#02127,South Boston,MA,42.329711,-71.055924
5915186,14 Rogers St,#02127,South Boston,MA,42.329797,-71.055449
5915186,18 Rogers St,#02127,South Boston,MA,42.329714,-71.055366
5915189,43 Rogers St,#02127,South Boston,MA,42.329051,-71.055371
5914852,13 Rogers St,#02127,South Boston,MA,42.329711,-71.055924
5914852,15 Rogers St,#02127,South Boston,MA,42.329711,-71.055924
5915189,45 Rogers St,#02127,South Boston,MA,42.32898,-71.05538
5915186,16 Rogers St,#02127,South Boston,MA,42.329749,-71.055443
5914853,19 Rogers St,#02127,South Boston,MA,42.329528,-71.055575
5914852,23 Rogers St,#02127,South Boston,MA,42.329412,-71.055458
5915186,22 Rogers St,#02127,South Boston,MA,42.329608,-71.055275
5915189,50 Rogers St,#02127,South Boston,MA,42.328889,-71.055125
5915189,54 Rogers St,#02127,South Boston,MA,42.328733,-71.055139
5915186,10 Rogers St,#02127,South Boston,MA,42.329873,-71.055584
6353112,1 Ross Pl # 2,#02127,South Boston,MA,42.33371,-71.028651
6352899,1 Ross Pl # 3,#02127,South Boston,MA,42.33371,-71.028651
6352964,1 Ross Pl # 4,#02127,South Boston,MA,42.33371,-71.028651
5915112,11 Sanger St,#02127,South Boston,MA,42.331814,-71.04215
5915109,12 Sanger St,#02127,South Boston,MA,42.331822,-71.041806
5915109,16 Sanger St,#02127,South Boston,MA,42.33174,-71.041801
5915112,21 Sanger St,#02127,South Boston,MA,42.331651,-71.042141
5915111,7 Sanger St,#02127,South Boston,MA,42.331901,-71.042155
5915112,17 Sanger St,#02127,South Boston,MA,42.331732,-71.042145
8779354,20 Sanger St # 3,#02127,South Boston,MA,42.331658,-71.041797
8779371,20 Sanger St # 1,#02127,South Boston,MA,42.331658,-71.041797
8779419,20 Sanger St # 2,#02127,South Boston,MA,42.331658,-71.041797
11338897,21 Sanger St # 2,#02127,South Boston,MA,42.331651,-71.042141
11338932,21 Sanger St # 1,#02127,South Boston,MA,42.331651,-71.042141
5914832,1 Scott Pl # 4,#02127,South Boston,MA,42.334326,-71.031795
5914832,1 Scott Pl # 2,#02127,South Boston,MA,42.334326,-71.031795
208701958,1 Scott Pl # 17,#02127,South Boston,MA,42.334326,-71.031795
5914832,1 Scott Pl # 3,#02127,South Boston,MA,42.334326,-71.031795
211140532,875 E 2nd St # 2,#02127,South Boston,MA,42.337202,-71.028064
19004723,124 W 7th St # A,#02127,South Boston,MA,42.335725,-71.052787
19004724,124 W 7th St,#02127,South Boston,MA,42.335725,-71.052787
19004724,124 W 7th St # F,#02127,South Boston,MA,42.335725,-71.052787
5915036,5 Shepton Ter,#02127,South Boston,MA,42.33113,-71.033961
5915036,7 Shepton Ter,#02127,South Boston,MA,42.331128,-71.034097
5915036,10 Shepton Ter,#02127,South Boston,MA,42.331125,-71.034313
213612220,265 Silver St,#02127,South Boston,MA,42.336681,-71.048703
5915124,291 Silver St,#02127,South Boston,MA,42.335963,-71.047656
23989251,287 Silver St,#02127,South Boston,MA,42.336033,-71.047759
5915290,185 Silver St,#02127,South Boston,MA,42.338219,-71.051146
5915174,55 Silver St,#02127,South Boston,MA,42.340938,-71.055374
5915174,40 Silver St,#02127,South Boston,MA,42.341354,-71.055647
5915143,267 Silver St,#02127,South Boston,MA,42.336618,-71.048673
5915103,360 Silver St,#02127,South Boston,MA,42.335078,-71.04546
5915106,373 Silver St,#02127,South Boston,MA,42.334871,-71.045035
29496858,269-271 Silver St,#02127,South Boston,MA,42.3367,-71.0489
29496856,194 Silver St,#02127,South Boston,MA,42.338218,-71.050748
29496854,47 Silver St,#02127,South Boston,MA,42.341041,-71.055517
29496854,45 Silver St,#02127,South Boston,MA,42.341089,-71.05559
5915124,307 Silver St,#02127,South Boston,MA,42.33566,-71.047126
5915125,315 Silver St,#02127,South Boston,MA,42.335482,-71.046888
5915023,742 E 6th St,#02127,South Boston,MA,42.333346,-71.030349
5915023,770 E 6th St,#02127,South Boston,MA,42.333358,-71.029592
5915022,772 E 6th St,#02127,South Boston,MA,42.333359,-71.029527
5915022,776 E 6th St,#02127,South Boston,MA,42.333361,-71.029395
5914944,787 E 6th St,#02127,South Boston,MA,42.333079,-71.02887
5914944,785-785A E 6th St,#02127,South Boston,MA,42.333,-71.0281
5914943,794 E 6th St,#02127,South Boston,MA,42.333469,-71.028655
5914942,816 E 6th St,#02127,South Boston,MA,42.333486,-71.02771
5914839,818 E 6th St,#02127,South Boston,MA,42.333396,-71.02761
5915253,28 Boston St APT 4,#02127,South Boston,MA,42.328446,-71.057435
5915253,26 Boston St APT 1,#02127,South Boston,MA,42.328516,-71.057403
5915253,26 Boston St APT 2,#02127,South Boston,MA,42.328516,-71.057403
5915253,26 Boston St APT 3,#02127,South Boston,MA,42.328516,-71.057403
6709612,11 Boston St # 1,#02127,South Boston,MA,42.329116,-71.057571
5915254,13-13A Boston St,#02127,South Boston,MA,42.329085,-71.057569
5915252,38 Boston St,#02127,South Boston,MA,42.328136,-71.057563
19005705,20 Boston St,#02127,South Boston,MA,42.328674,-71.057421
5915112,9 Springer St,#02127,South Boston,MA,42.331861,-71.041013
5915116,14 Springer St,#02127,South Boston,MA,42.331951,-71.040739
5915115,4 Springer St,#02127,South Boston,MA,42.331681,-71.040741
5915115,2 Springer St,#02127,South Boston,MA,42.331614,-71.040738
5915112,7 Springer St,#02127,South Boston,MA,42.331818,-71.04095
6709583,8 Springer St # 1,#02127,South Boston,MA,42.331807,-71.040735
6709665,8 Springer St # 2,#02127,South Boston,MA,42.331807,-71.040735
9013668,7 Springer St # 1,#02127,South Boston,MA,42.331815,-71.041012
9013836,7 Springer St # 2,#02127,South Boston,MA,42.331815,-71.041012
