,ADDRESS,LATITUDE,LONGITUDE
108,22 LIBERTY DR Apt. 5B,42.35459720000001,-71.0452732
109,190 F ST,42.3381192,-71.0464252
110,9 HAWTHORNE PL Apt. 2-O,42.3642406,-71.066169
111,715 E FOURTH ST,42.3345733,-71.03596399999999
112,180 GOLD ST Apt. 3,42.3372696,-71.0510645
113,525 E SECOND ST Apt. 7,42.33695489999999,-71.04220889999999
114,8 SANGER ST Apt. 2,42.3318894,-71.0418222
115,400R K ST Apt. 18,42.3302632,-71.0370662
116,68 TELEGRAPH ST,42.3331223,-71.0477803
117,59 GATES ST Apt. 101,42.33189,-71.04849999999999
118,480 DORCHESTER AV,42.3324179,-71.0566946
119,62 NINTH ST Apt. 62,42.3760578,-71.0523608
120,52 P ST,42.336467,-71.02701449999999
121,6 WHITTIER PL Apt. 2F-6,42.3657336,-71.0669497
122,189 DORCHESTER ST,42.33384789999999,-71.0496102
123,46 N ST,42.3370808,-71.03108879999999
124,789 E FOURTH ST,42.3346509,-71.03211139999999
125,21 WORMWOOD ST Apt. 614,42.3469839,-71.0502336
126,1 SPRINGER ST,42.331647,-71.04094359999999
127,22 LIBERTY DR Apt. B1-5,42.3545427,-71.0452696
128,627 E SECOND ST Apt. 1,42.33688799999999,-71.038089
129,11 BOSTON ST Apt. 1,42.3291302,-71.0575645
130,91 O ST,42.3350318,-71.02935529999999
131,530 E BROADWAY,42.3356849,-71.04311419999999
132,22 LORING ST,42.3341051,-71.0520634
133,48 GOLD ST Apt. 303,42.3399163,-71.05567370000001
134,13 ATLANTIC ST Apt. 2,42.334083,-71.0464275
135,437 D ST Apt. 6D,42.3451429,-71.0429517
136,123 F ST,42.33622800000001,-71.048096
137,124 D ST,42.3357896,-71.05461
138,63 LOUIS PRANG ST,42.3382854,-71.096445
139,187 BOWEN ST,42.33629639999999,-71.0516044
140,500 ALBANY ST,42.3382505,-71.0658408
141,42 EIGHTH ST Apt. 2306,42.3749988,-71.0520878
142,3C DOUGLAS ST Apt. 3-C,42.3310409,-71.0428821
143,25 MERCER ST Apt. 1,42.33263120000001,-71.0492601
144,53 THOMAS PK Apt. 8,42.3319394,-71.0463541
145,202 K ST Apt. 6,42.3364091,-71.0372529
146,155 COTTAGE ST Apt. 5,42.3696247,-71.03287619999999
147,525 E SECOND ST Apt. 5,42.33695489999999,-71.04220889999999
148,96 LINDEN ST Apt. 96-2,42.3514517,-71.1299336
149,9 P ST Apt. 1,42.3378996,-71.0275304
150,15 TELEGRAPH ST,42.33276000000001,-71.05021339999999
151,882 E BROADWAY,42.3360163,-71.0286996
152,42 EIGHTH ST Apt. 3111,42.3749988,-71.0520878
153,326 A ST Apt. 4-A,42.3495024,-71.0496522
154,346 CONGRESS ST Apt. 507,42.3506856,-71.0486803
155,509 E SECOND ST Apt. 7,42.3369352,-71.0430365
156,150 DORCHESTER AV Apt. 102,42.3418223,-71.05691519999999
157,6 GIFFORD PL,42.3300072,-71.0543266
158,45 OLD HARBOR ST,42.3333359,-71.0476178
159,170 I ST Apt. 3,42.3324418,-71.0396981
160,141 DORCHESTER AV Apt. 206,42.3419516,-71.0574969
161,68 I ST Apt. 3,42.3359448,-71.0396975
162,42 EIGHTH ST Apt. 4313,42.3749988,-71.0520878
163,9 WOODWARD ST,42.3316294,-71.0566112
164,6 WHITTIER PL Apt. 5M-6,42.3657336,-71.0669497
165,1322 COLUMBIA RD,42.3305978,-71.0464803
166,652 DORCHESTER AV,42.3277984,-71.0567178
167,5 WARD CT,42.3296879,-71.0539403
168,365 E ST,42.3388133,-71.04787739999999
169,22 LIBERTY DR Apt. B2-46,42.3545427,-71.0452696
170,21 WORMWOOD ST Apt. 518,42.3469839,-71.0502336
171,2 HAWTHORNE PL Apt. 3-P,42.3642406,-71.066169
172,209 D ST Apt. 5 3RD,42.3375261,-71.0519668
173,17 M ST,42.3376424,-71.0335032
174,125 FARRAGUT RD Apt. 29,42.3336888,-71.0255391
175,163 W SECOND ST,42.3417909,-71.0520634
176,25 CHANNEL CENTER ST Apt. 1105,42.3460654,-71.0507949
177,DAMRELL ST,42.3328168,-71.0552493
178,150 H ST Apt. 1,42.3327953,-71.04125859999999
179,139 M ST Apt. 3,42.3332976,-71.0334699
180,6 WHITTIER PL Apt. 5N-6,42.3657336,-71.0669497
181,2 HAWTHORNE PL Apt. 14-D,42.3642406,-71.066169
182,24 F ST,42.3339303,-71.051367
183,110 P ST,42.3345545,-71.0269
184,275 W SECOND ST Apt. 275-1,42.33952559999999,-71.04863929999999
185,192 BOSTON ST,42.3231726,-71.06029269999999
186,248 C ST Apt. 3,42.2936351,-71.0629146
187,14 MARINE RD,42.3307744,-71.0389355
188,401 W FOURTH ST,42.3361077,-71.0488982
189,141 DORCHESTER AV Apt. 515,42.3419516,-71.0574969
190,370 DORCHESTER AV,42.3357732,-71.0565553
191,165 F ST,42.3373047,-71.046932
192,2 HAWTHORNE PL Apt. 5-R,42.3642406,-71.066169
193,63 TELEGRAPH ST,42.3328503,-71.0480357
194,142 MARINE RD,42.3308419,-71.03362
195,600 E BROADWAY,42.3356709,-71.04044549999999
196,6 MT VERNON PL Apt. 6 MT V,42.3578652,-71.0647326
197,42 EIGHTH ST Apt. 3209,42.3749988,-71.0520878
198,124 F ST,42.336447,-71.0483718
199,22 LIBERTY DR Apt. B1-9,42.3545427,-71.0452696
200,104 G ST,42.3323398,-71.0439385
201,25 CHANNEL CENTER ST Apt. 205,42.3460654,-71.0507949
202,253 GOLD ST Apt. 1,42.335395,-71.04852249999999
203,51 TELEGRAPH ST,42.3327917,-71.04877859999999
204,83 OLD HARBOR ST Apt. 1,42.3319869,-71.0476948
205,6 WHITTIER PL Apt. 6J-6,42.3657336,-71.0669497
206,35 CHANNEL CENTER ST Apt. 203,42.3463778,-71.05055349999999
207,10 HATCH ST,42.330977,-71.03577829999999
208,25 MERCER ST Apt. 5,42.33263120000001,-71.0492601
209,695 E FOURTH ST Apt. 3,42.3346382,-71.0366904
210,19 GATES ST,42.3333594,-71.04840709999999
211,205 E ST Apt. 5-N,42.33466809999999,-71.0528046
212,109 N ST Apt. 4,42.3344853,-71.0314719
213,44 LORING ST,42.2474189,-71.1206904
214,25 CHANNEL CENTER ST Apt. 607,42.3460654,-71.0507949
215,509 E SECOND ST Apt. 1,42.3369352,-71.0430365
216,552 E FOURTH ST Apt. 2-A,42.3348157,-71.0427019
217,275 OLD COLONY AV Apt. PS-14,42.3306412,-71.0531428
